id,marketName,marketCategoryCode,createdAt
d80f8867-473d-4608-b672-8bbf6a43c290,Şok,31604,2026-03-08 17:50:49.679
d9f2d4e7-aa14-44df-aa9c-6958d765a10e,Şok,1830,2026-03-08 23:54:19.93
dab0f4bb-580a-4f33-b7e2-ea555d62fe92,Migros,kuzu-eti-c-3fb,2026-03-08 17:50:18.35
dae47a23-7cf5-4dc7-9e10-ee1e5926f557,Migros,egzotik-sebzeler-c-3f2,2026-03-08 17:50:25.733
dbc07949-96e8-449f-9416-a6fc43025d82,A101,C0807,2026-03-08 17:49:56.282
e5303f3b-e1dc-43fa-916c-fe75cd55bd36,Şok,1800,2026-03-08 17:51:10.866
e617a8c6-3509-4276-9918-628cf8f4e2e0,A101,C0702,2026-03-08 17:50:00.884
e953f3f2-9d66-4e26-a167-f28152e6a69f,A101,C0707,2026-03-08 17:50:02.704
e987ed97-dcfc-400c-8375-eaf531b0adcc,Şok,40,2026-03-08 17:50:58.929
eb523b58-4b48-4998-8af8-fe6d922d30e7,A101,C0403,2026-03-08 17:49:50.807
ebabdb44-bcdb-4495-9f05-ff83b0d03a23,Şok,90,2026-03-08 17:50:55.288
ec3864e7-94f4-4660-a698-55c0df8b6561,A101,C1102,2026-03-08 17:50:09.199
ed70645c-53eb-495e-bd89-d5ba105a0eb7,Migros,krema-ve-sos-c-41f,2026-03-08 17:50:31.236
f2f1e3e7-d1e0-4194-b085-70cc34908c46,A101,C0506,2026-03-08 17:49:59.035
f5935483-ec45-45b6-8f4e-0e5263a05497,Şok,32483,2026-03-08 17:50:46.942
f91c2ebc-502b-4bba-a28d-d45cc9638bdc,Şok,1280,2026-03-08 17:50:36.812
f9c88cba-6bc0-4aa6-a896-0b382538fc46,A101,C0701,2026-03-08 17:50:06.469
fd2bf885-ae62-4e2f-96f2-6ee77eac27c3,A101,C1105,2026-03-08 17:50:11.931
fe01c9eb-aedf-47a6-bdb4-4fb47176305e,Migros,yumusak-meyveler-c-3ee,2026-03-08 17:50:23.911
